date,year,month,open,high,low,close,volume,id
21-09-2005 0:00,2005,9,52.96,506.5,51.86,52.11,15527472,2118
20-09-2005 0:00,2005,9,52.99,506.5,52.92,53.19,29303729,2119
19-09-2005 0:00,2005,9,51.05,506.5,51.05,52.64,27992418,2120
16-09-2005 0:00,2005,9,50.23,506.5,49.95,51.21,21240709,2121
15-09-2005 0:00,2005,9,50,506.5,49.33,49.87,14828531,2122
14-09-2005 0:00,2005,9,51.06,506.5,49.46,49.61,16951233,2123
13-09-2005 0:00,2005,9,51.02,506.5,50.32,50.82,17605304,2124
12-09-2005 0:00,2005,9,51.1,506.5,50.58,51.4,16186324,2125
09-09-2005 0:00,2005,9,50.07,506.5,49.79,51.31,21998810,2126
08-09-2005 0:00,2005,9,49.35,506.5,49.14,49.78,25097021,2127
07-09-2005 0:00,2005,9,49.05,506.5,47.92,48.68,34406036,2128
06-09-2005 0:00,2005,9,46.7,506.5,46.55,48.8,29241546,2129
02-09-2005 0:00,2005,9,46.3,506.5,46.12,46.22,7942284,2130
01-09-2005 0:00,2005,9,47,506.5,46.09,46.26,12728749,2131
31-08-2005 0:00,2005,8,46.86,506.5,46.27,46.89,14392762,2132
30-08-2005 0:00,2005,8,45.99,506.5,45.92,46.57,18537764,2133
29-08-2005 0:00,2005,8,45.27,506.5,45.26,45.84,9156935,2134
26-08-2005 0:00,2005,8,46.12,506.5,45.36,45.74,9326980,2135
25-08-2005 0:00,2005,8,46.12,506.5,45.81,46.06,9867375,2136
24-08-2005 0:00,2005,8,45.6,506.5,45.59,45.77,20434739,2137
23-08-2005 0:00,2005,8,45.85,506.5,45.32,45.74,10560263,2138
22-08-2005 0:00,2005,8,46.15,506.5,45.26,45.87,13863636,2139
19-08-2005 0:00,2005,8,46.28,506.5,45.77,45.83,13642150,2140
18-08-2005 0:00,2005,8,46.91,506.5,45.75,46.3,15806657,2141
17-08-2005 0:00,2005,8,46.4,506.5,46.37,47.15,18124253,2142
16-08-2005 0:00,2005,8,47.39,506.5,46.21,46.25,19246361,2143
15-08-2005 0:00,2005,8,46.48,506.5,46.45,47.68,38817176,2144
12-08-2005 0:00,2005,8,43.46,506.5,43.36,46.1,33345086,2145
11-08-2005 0:00,2005,8,43.39,506.5,43.25,44,9737299,2146
10-08-2005 0:00,2005,8,44,506.5,43.31,43.38,13014746,2147
09-08-2005 0:00,2005,8,42.93,506.5,42.91,43.82,13846441,2148
08-08-2005 0:00,2005,8,43,506.5,42.61,42.65,6321863,2149
05-08-2005 0:00,2005,8,42.49,506.5,42.02,42.99,8660126,2150
04-08-2005 0:00,2005,8,42.89,506.5,42.29,42.71,9882335,2151
03-08-2005 0:00,2005,8,43.19,506.5,42.77,43.22,9347922,2152
02-08-2005 0:00,2005,8,42.89,506.5,42.61,43.19,10627690,2153
01-08-2005 0:00,2005,8,42.57,506.5,42.08,42.75,11285658,2154
