name,amg_movie_id,movie_title,role_type,rating,year,id
Ethan Hawke,V 575240,The Purge,Normal Acting,2,2013,15274
Ethan Hawke,V 571066,Mea Maxima Culpa: Silence in the House of God,Voice,6,2012,15276
Ethan Hawke,V 551199,Sinister,Normal Acting,3,2012,15277
Tilda Swinton,V 581556,Only Lovers Left Alive,Normal Acting,5,2013,15330
Tilda Swinton,V 538719,Moonrise Kingdom,Normal Acting,5,2012,15335
Tilda Swinton,V 558413,Snowpiercer,Normal Acting,,2013,15332
Harvey Keitel,V 538719,Moonrise Kingdom,Normal Acting,5,2012,15678
Debra Winger,V 560764,Bel Borba Aqui,Executive Producer,4,2012,15864
Debra Winger,V 560805,Lola Versus,Normal Acting,6,2012,15865
Tom Wilkinson,V 550476,The Lone Ranger,Normal Acting,4,2013,15907
Tom Wilkinson,V 541446,The Best Exotic Marigold Hotel,Normal Acting,6,2012,15909
Tom Wilkinson,V 562065,The Samaritan,Normal Acting,5,2012,15910
Queen Latifah,V 516738,Ice Age: Continental Drift,Voice,4,2012,16033
Queen Latifah,V 525995,Joyful Noise,Executive Producer,3,2012,16035
Queen Latifah,V 525995,Joyful Noise,Normal Acting,3,2012,16036
Jackie Earle Haley,V 576301,Parkland,Normal Acting,5,2013,16291
Jackie Earle Haley,V 529187,Dark Shadows,Normal Acting,2,2012,16292
Jackie Earle Haley,V 530126,Lincoln,Normal Acting,7,2012,16293
Judi Dench,V 582625,Philomena,Normal Acting,7,2013,16798
Judi Dench,V 532632,Skyfall,Normal Acting,8,2012,16799
Judi Dench,V 541446,The Best Exotic Marigold Hotel,Normal Acting,6,2012,16800
Alan Alda,V 528023,Wanderlust,Normal Acting,7,2012,16898
Ed Harris,V 523235,Gravity,Voice,8,2013,17078
Ed Harris,V 557782,Pain & Gain,Normal Acting,7,2013,17080
Ed Harris,V 552787,Phantom,Normal Acting,3,2013,17081
Ed Harris,V 538626,Man on a Ledge,Normal Acting,3,2012,17085
Ed Harris,V 576221,Sweetwater,Executive Producer,5,2012,17086
Ed Harris,V 576221,Sweetwater,Normal Acting,5,2012,17087
John Lithgow,V 540206,The Campaign,Normal Acting,5,2012,17234
John Lithgow,V 532264,This Is 40,Normal Acting,5,2012,17238
Liam Neeson,V 580650,The Nut Job,Voice,2,2014,17342
Liam Neeson,V 576920,Girl Rising,Voice,5,2013,17343
Liam Neeson,V 574215,Khumba,Voice,4,2013,17344
Liam Neeson,V 501081,Battleship,Normal Acting,4,2012,17346
Liam Neeson,V 538867,Taken 2,Normal Acting,2,2012,17347
Liam Neeson,V 516322,The Dark Knight Rises,Normal Acting,6,2012,17348
Liam Neeson,V 546042,The Grey,Normal Acting,7,2012,17349
Liam Neeson,V 524599,Wrath of the Titans,Normal Acting,4,2012,17350
Angela Bassett,V 579025,Black Nativity,Normal Acting,3,2013,17644
Angela Bassett,V 567934,Olympus Has Fallen,Normal Acting,5,2013,17645
Angela Bassett,V 522512,This Means War,Normal Acting,6,2012,17646
Louise Fletcher,V 588265,A Perfect Man,Normal Acting,,2013,17709
Jennifer Hudson,V 579025,Black Nativity,Normal Acting,3,2013,17839
Jennifer Hudson,V 576065,The Inevitable Defeat of Mister and Pete,Normal Acting,6,2013,17841
Jennifer Hudson,V 474256,The Three Stooges,Normal Acting,5,2012,17842
Adrien Brody,V 574788,Back to 1942,Normal Acting,3,2012,17987
Jodie Foster,V 503735,Elysium,Normal Acting,7,2013,18063
Bette Midler,V 575910,20 Feet From Stardom,Interviewee,7,2013,18147
Bette Midler,V 550474,Parental Guidance,Normal Acting,3,2012,18149
Gary Busey,V 585678,Bounty Killer,Normal Acting,4,2013,18206
Gary Busey,V 530954,Piranha 3DD,Normal Acting,3,2012,18209
Uma Thurman,V 539852,Movie 43,Normal Acting,4,2013,18328
Uma Thurman,V 546598,Bel Ami,Normal Acting,3,2012,18330
Uma Thurman,V 571064,"Love, Marilyn",Participant,4,2012,18331
Uma Thurman,V 539647,Playing for Keeps,Normal Acting,4,2012,18332
James Franco,V 581552,As I Lay Dying,Director,5,2013,18539
James Franco,V 581552,As I Lay Dying,Normal Acting,5,2013,18540
James Franco,V 581552,As I Lay Dying,Screenwriter,5,2013,18541
James Franco,V 569893,Homefront,Normal Acting,5,2013,18546
James Franco,V 576161,Interior. Leather Bar.,Cinematographer,4,2013,18547
James Franco,V 576161,Interior. Leather Bar.,Director,4,2013,18548
James Franco,V 576161,Interior. Leather Bar.,Normal Acting,4,2013,18549
James Franco,V 576161,Interior. Leather Bar.,Producer,4,2013,18550
James Franco,V 527188,Oz the Great and Powerful,Normal Acting,6,2013,18553
James Franco,V 548069,Sal,Director,3,2013,18555
James Franco,V 548069,Sal,Editor,3,2013,18556
James Franco,V 548069,Sal,Normal Acting,3,2013,18557
James Franco,V 548069,Sal,Screen Story,3,2013,18558
James Franco,V 564269,This Is the End,Normal Acting,5,2013,18562
James Franco,V 569594,About Cherry,Normal Acting,4,2012,18564
James Franco,V 584054,Mademoiselle C,Participant,5,2012,18567
James Franco,V 560779,Spring Breakers,Normal Acting,6,2012,18569
James Franco,V 570515,The Iceman,Normal Acting,4,2012,18572
James Franco,V 576166,kink,Executive Producer,,2013,18551
Eddie Murphy,V 453137,A Thousand Words,Normal Acting,1,2012,18635
Barbra Streisand,V 533277,The Guilt Trip,Executive Producer,4,2012,18709
Barbra Streisand,V 533277,The Guilt Trip,Normal Acting,4,2012,18710
Christopher Walken,V 556976,Stand Up Guys,Normal Acting,6,2013,19068
Christopher Walken,V 570791,A Late Quartet,Normal Acting,6,2012,19070
Christopher Walken,V 561556,Seven Psychopaths,Normal Acting,5,2012,19073
Don Cheadle,V 527818,Iron Man 3,Normal Acting,7,2013,19275
Don Cheadle,V 548633,Flight,Normal Acting,5,2012,19279
Pauline Collins,V 564621,Quartet,Normal Acting,6,2012,19500
Samantha Morton,V 532214,Cosmopolis,Normal Acting,3,2012,19537
Samantha Morton,V 491527,John Carter,Normal Acting,3,2012,19538
Laura Dern,V 537713,The Master,Normal Acting,6,2012,19575
Winona Ryder,V 569893,Homefront,Normal Acting,5,2013,19644
Winona Ryder,V 424945,Frankenweenie,Voice,7,2012,19645
Winona Ryder,V 570515,The Iceman,Normal Acting,4,2012,19646
Genevieve Bujold,V 571134,Still Mine,Normal Acting,6,2012,20060
Halle Berry,V 539852,Movie 43,Normal Acting,4,2013,20183
Halle Berry,V 574290,The Call,Normal Acting,6,2013,20184
Halle Berry,V 545241,Cloud Atlas,Normal Acting,4,2012,20185
Chlo? Sevigny,V 551575,Lovelace,Normal Acting,5,2013,20308
Cloris Leachman,V 501861,The Croods,Voice,3,2013,20352
Cloris Leachman,V 517960,The Oogieloves in The Big Balloon Adventure,Normal Acting,2,2012,20353
Christine Lahti,V 586095,Hateship Loveship,Normal Acting,4,2013,20779
Toni Collette,V 585095,Enough Said,Normal Acting,6,2013,20984
Toni Collette,V 587547,Lucky Them,Normal Acting,4,2013,20985
Toni Collette,V 576218,The Way Way Back,Normal Acting,5,2013,20986
Toni Collette,V 415854,Hitchcock,Normal Acting,6,2012,20987
Toni Collette,V 570901,Mental,Normal Acting,7,2012,20988
Toni Collette,V 569374,Storm Surfers,Voice,5,2012,20990
Mark Wahlberg,V 567038,2 Guns,Normal Acting,4,2013,21481
Mark Wahlberg,V 546958,Broken City,Normal Acting,4,2013,21482
Mark Wahlberg,V 546958,Broken City,Producer,4,2013,21483
Mark Wahlberg,V 580331,Lone Survivor,Normal Acting,5,2013,21484
Mark Wahlberg,V 580331,Lone Survivor,Producer,5,2013,21485
Mark Wahlberg,V 557782,Pain & Gain,Normal Acting,7,2013,21486
Mark Wahlberg,V 572110,Prisoners,Executive Producer,6,2013,21487
Mark Wahlberg,V 549687,Contraband,Normal Acting,5,2012,21490
Mark Wahlberg,V 549687,Contraband,Producer,5,2012,21491
Mark Wahlberg,V 535975,Ted,Normal Acting,4,2012,21492
James Earl Jones,V 590321,Gimme Shelter,Normal Acting,4,2013,21535
Chris Sarandon,V 539831,Safe,Normal Acting,4,2012,21719
Martin Landau,V 424945,Frankenweenie,Voice,7,2012,21838
Ian McKellen,V 427369,The Hobbit: The Desolation of Smaug,Normal Acting,5,2013,22059
Ian McKellen,V 427365,The Hobbit: An Unexpected Journey,Normal Acting,6,2012,22062
Hal Holbrook,V 579057,Savannah,Normal Acting,3,2013,22138
Hal Holbrook,V 530126,Lincoln,Normal Acting,7,2012,22139
Hal Holbrook,V 570795,Promised Land,Normal Acting,6,2012,22140
Tess Harper,V 581024,Sunlight Jr.,Normal Acting,6,2013,22261
Kevin Kline,V 565940,Last Vegas,Normal Acting,4,2013,23327
Kevin Kline,V 526217,Darling Companion,Normal Acting,5,2012,23329
Kevin Kline,V 530126,Lincoln,Normal Acting,7,2012,23331
Kenneth Branagh,V 561867,Jack Ryan: Shadow Recruit,Director,6,2014,23394
Kenneth Branagh,V 561867,Jack Ryan: Shadow Recruit,Normal Acting,6,2014,23396
Sigourney Weaver,V 529191,Red Lights,Normal Acting,2,2012,23520
Sigourney Weaver,V 544671,Vamps,Normal Acting,5,2012,23522
Casey Affleck,V 569831,Ain't Them Bodies Saints,Normal Acting,7,2013,23629
Casey Affleck,V 562459,Out of the Furnace,Normal Acting,5,2013,23630
Casey Affleck,V 551673,ParaNorman,Voice,5,2012,23631
Catherine Zeta-Jones,V 546958,Broken City,Normal Acting,4,2013,23661
Catherine Zeta-Jones,V 551206,RED 2,Normal Acting,5,2013,23662
Catherine Zeta-Jones,V 555591,Side Effects,Normal Acting,5,2013,23663
Catherine Zeta-Jones,V 554722,Lay the Favorite,Normal Acting,3,2012,23664
Catherine Zeta-Jones,V 539647,Playing for Keeps,Normal Acting,4,2012,23665
Catherine Zeta-Jones,V 476995,Rock of Ages,Normal Acting,3,2012,23666
Tom Courtenay,V 577238,Night Train to Lisbon,Normal Acting,2,2013,23703
Tom Courtenay,V 564621,Quartet,Normal Acting,6,2012,23704
B_r_nice Bejo,V 581032,The Past,Normal Acting,7,2013,24383
B_r_nice Bejo,V 580119,Populaire,Normal Acting,5,2012,24384
Samuel L. Jackson,V 545041,Oldboy,Normal Acting,5,2013,24411
Samuel L. Jackson,V 535239,Turbo,Voice,5,2013,24412
Samuel L. Jackson,V 538627,Django Unchained,Normal Acting,5,2012,24413
Samuel L. Jackson,V 451151,Marvel's The Avengers,Normal Acting,8,2012,24414
Samuel L. Jackson,V 559641,Meeting Evil,Normal Acting,4,2012,24417
Samuel L. Jackson,V 562065,The Samaritan,Executive Producer,5,2012,24418
Samuel L. Jackson,V 562065,The Samaritan,Normal Acting,5,2012,24419
Cicely Tyson,V 575789,The Haunting in Connecticut 2: Ghosts of Georgia,Normal Acting,1,2013,24588
Cicely Tyson,V 557632,Alex Cross,Normal Acting,4,2012,24589
Melissa McCarthy,V 556210,Identity Thief,Normal Acting,3,2013,24657
Melissa McCarthy,V 560997,The Hangover Part III,Normal Acting,5,2013,24659
Melissa McCarthy,V 569643,The Heat,Normal Acting,5,2013,24660
Melissa McCarthy,V 532264,This Is 40,Normal Acting,5,2012,24661
Richard Dreyfuss,V 565338,Paranoia,Normal Acting,5,2013,24751
